rank,candidate_id,candidate_name,job_id,fit_probability,fit_percentage,fit_label,fit_verdict,confidence_band,matched_skills,missing_skills,matched_skill_count,missing_skill_count,required_skill_count
30,C0440,Nina Chen,J001,0.7192,71.9,1,Good Fit,Likely Fit,['AWS'],"['Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",1,7,8
31,C0622,Kai Wang,J001,0.7075,70.8,1,Good Fit,Likely Fit,['Airflow'],"['AWS', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",1,7,8
32,C0925,Isha Mehta,J001,0.6591,65.9,1,Good Fit,Likely Fit,"['NumPy', 'Python', 'SQL']","['AWS', 'Airflow', 'NoSQL', 'Teamwork', 'XGBoost']",3,5,8
33,C0320,Kavya Rodriguez,J001,0.6534,65.3,1,Good Fit,Likely Fit,"['AWS', 'NoSQL']","['Airflow', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",2,6,8
34,C0372,Nina Castillo,J001,0.5222,52.2,1,Good Fit,Borderline Fit,['NoSQL'],"['AWS', 'Airflow', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",1,7,8
35,C0175,Hassan Anderson,J001,0.5105,51.1,1,Good Fit,Borderline Fit,[],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",0,8,8
36,C0278,Wei Verma,J001,0.4354,43.5,1,Good Fit,Borderline Fit,[],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",0,8,8
37,C0281,Fatima Mensah,J001,0.422,42.2,1,Good Fit,Borderline Fit,"['Python', 'SQL']","['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Teamwork', 'XGBoost']",2,6,8
38,C0140,Maria Liu,J001,0.4041,40.4,1,Good Fit,Borderline Fit,['SQL'],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'Teamwork', 'XGBoost']",1,7,8
39,C0236,Shruti Tanaka,J001,0.3944,39.4,0,Poor Fit,Likely Poor Fit,[],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",0,8,8
40,C0514,Ivan Tanaka,J001,0.3592,35.9,0,Poor Fit,Likely Poor Fit,['NoSQL'],"['AWS', 'Airflow', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",1,7,8
41,C0900,Kai Patel,J001,0.3522,35.2,0,Poor Fit,Likely Poor Fit,[],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",0,8,8
42,C0211,David Joshi,J001,0.2715,27.2,0,Poor Fit,Likely Poor Fit,[],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",0,8,8
43,C0939,Maria Tanaka,J001,0.2649,26.5,0,Poor Fit,Likely Poor Fit,"['Teamwork', 'XGBoost']","['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL']",2,6,8
44,C0948,Sofia Castillo,J001,0.2368,23.7,0,Poor Fit,Strong Poor Fit,['Teamwork'],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'XGBoost']",1,7,8
45,C0412,Maria Mehta,J001,0.2013,20.1,0,Poor Fit,Strong Poor Fit,['XGBoost'],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork']",1,7,8
46,C0522,Hassan Garcia,J001,0.1811,18.1,0,Poor Fit,Strong Poor Fit,['NoSQL'],"['AWS', 'Airflow', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",1,7,8
47,C0838,Ananya Ali,J001,0.1807,18.1,0,Poor Fit,Strong Poor Fit,['AWS'],"['Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork', 'XGBoost']",1,7,8
48,C0741,Shruti Castillo,J001,0.1233,12.3,0,Poor Fit,Strong Poor Fit,"['AWS', 'Python']","['Airflow', 'NoSQL', 'NumPy', 'SQL', 'Teamwork', 'XGBoost']",2,6,8
49,C0602,Neha Chen,J001,0.0775,7.7,0,Poor Fit,Strong Poor Fit,['Python'],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'SQL', 'Teamwork', 'XGBoost']",1,7,8
50,C0347,Michael Okonkwo,J001,0.0754,7.5,0,Poor Fit,Strong Poor Fit,['XGBoost'],"['AWS', 'Airflow', 'NoSQL', 'NumPy', 'Python', 'SQL', 'Teamwork']",1,7,8
